trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2024-12-04,15.96,2,7.98,0.5,100.07,50.04,15.96,78,Extreme Greed,Extreme Greed,,0,,15.964428,0.0,15964.428,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-05,236.64,3,78.88,0.33,2404.41,801.47,236.64,84,Extreme Greed,Extreme Greed,,0,,236.64235,0.0,236642.34999999998,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-06,-81.74,4,-20.44,0.25,1967.53,491.88,81.93,72,Greed,Greed,,0,,0.09232,81.834726,0.0011281274406662032,0,4.0,100.0,Greed,Greed (56-75)
2024-12-07,81.62,3,27.21,0.33,968.5,322.83,81.62,75,Extreme Greed,Greed,,0,,81.623764,0.0,81623.764,0,0.0,0.0,Greed,Greed (56-75)
2024-12-08,14.13,3,4.71,0.33,11935.0,3978.33,14.13,79,Extreme Greed,Extreme Greed,,0,,14.129884,0.0,14129.884,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-09,3.8,11,0.35,0.18,10858.96,987.18,3.8,78,Extreme Greed,Extreme Greed,,0,,3.796105,0.0,3796.1049999999996,0,11.0,100.0,Greed,Extreme Greed (76-100)
2024-12-10,285.76,10,28.58,0.8,7715.33,771.53,291.79,78,Extreme Greed,Extreme Greed,,0,,288.77774700000003,3.013048,95.84239846162426,0,0.6666666666666666,40.0,Greed,Extreme Greed (76-100)
2024-12-11,25465.1,9,2829.46,0.67,29932.51,3325.83,25465.1,74,Greed,Greed,,0,,25465.103450000002,0.0,25465103.450000003,0,0.5,33.33333333333333,Greed,Greed (56-75)
2024-12-12,834.55,32,26.08,0.25,57473.31,1796.04,834.55,83,Extreme Greed,Extreme Greed,,0,,834.547422,0.0,834547.422,0,0.7777777777777778,43.75,Greed,Extreme Greed (76-100)
2024-12-13,12.61,26,0.49,0.08,35842.85,1378.57,12.61,76,Extreme Greed,Extreme Greed,,0,,12.61435,0.0,12614.35,0,0.13043478260869565,11.538461538461538,Greed,Extreme Greed (76-100)
2024-12-14,3239.47,30,107.98,0.17,38847.01,1294.9,3239.47,83,Extreme Greed,Extreme Greed,,0,,3239.468506,0.0,3239468.506,0,0.1111111111111111,10.0,Greed,Extreme Greed (76-100)
